name,phone,cpf,email,tags
João Alves,5582958674177,47304508291,joão.alves85@email.com,"interessado, premium, lead-frio, novo, vip"
Rafael Oliveira,5542935587869,47919074265,rafael.oliveira320@email.com,"vip, premium, retorno, lead-frio, lead-quente"
Fernanda Ribeiro,5567930222490,77370383600,fernanda.ribeiro650@email.com,"lead-frio, lead-quente, premium, retorno, novo"
Ana Lima,5519993613814,49650537642,ana.lima974@email.com,vip
Ana Ribeiro,5514933073266,34695271997,ana.ribeiro837@email.com,"premium, lead-frio"
Pedro Gomes,5520982298591,23180777400,pedro.gomes487@email.com,"premium, lead-frio, retorno"
Rafael Rodrigues,5538920307327,68424172671,rafael.rodrigues454@email.com,"lead-frio, retorno, interessado, vip"
Ana Oliveira,5598970939449,22523627377,ana.oliveira464@email.com,
Camila Gomes,5530966646751,45476317361,camila.gomes334@email.com,
Carlos Gomes,5548949902162,84691565324,carlos.gomes495@email.com,"vip, premium, novo"
Maria Lima,5535944308789,22657805732,maria.lima939@email.com,"lead-quente, retorno, premium, novo"
Fernanda Ribeiro,5577926360662,22047511473,fernanda.ribeiro1@email.com,
Ana Rodrigues,5550993385347,60434510685,ana.rodrigues797@email.com,
Bruno Ribeiro,5569939097958,15132780665,bruno.ribeiro112@email.com,"lead-frio, vip"
Camila Oliveira,5573911123880,46577623878,camila.oliveira823@email.com,"retorno, lead-frio, interessado, vip, novo"
João Ribeiro,5591919727548,33399430209,joão.ribeiro663@email.com,
Juliana Rodrigues,5594945965686,64919072459,juliana.rodrigues101@email.com,
Maria Gomes,5570949471102,47086431173,maria.gomes303@email.com,premium
Camila Lima,5526988217543,80152526454,camila.lima706@email.com,"lead-frio, premium"
Maria Santos,5542980546909,88274259282,maria.santos869@email.com,
Juliana Lima,5579976719533,32523750975,juliana.lima167@email.com,"interessado, novo, retorno, premium"
Ana Oliveira,5556929787245,94387387580,ana.oliveira140@email.com,"interessado, lead-quente, novo"
Ana Pereira,5552948844938,84736346704,ana.pereira701@email.com,
Maria Lima,5584973692633,79176247955,maria.lima77@email.com,"interessado, retorno, vip, lead-frio, novo"
Juliana Ribeiro,5538990292001,77866642352,juliana.ribeiro68@email.com,"novo, premium, lead-quente"
Fernanda Costa,5559937513905,63495987572,fernanda.costa924@email.com,"premium, lead-quente"
Pedro Rodrigues,5520983502534,93385589370,pedro.rodrigues230@email.com,"retorno, lead-quente"
João Alves,5558952211194,64616799540,joão.alves79@email.com,"retorno, premium"
Bruno Rodrigues,5534923812068,64606161819,bruno.rodrigues393@email.com,"novo, vip, interessado"
Maria Silva,5591926177739,56442396936,maria.silva264@email.com,
Bruno Costa,5564967202341,25872492400,bruno.costa576@email.com,"lead-frio, retorno, vip, premium, novo"
Camila Costa,5516960423678,39592479091,camila.costa51@email.com,"novo, premium, retorno, vip"
Bruno Alves,5537979264751,48242302600,bruno.alves785@email.com,retorno
Maria Rodrigues,5523911434075,88563662265,maria.rodrigues452@email.com,"lead-quente, lead-frio, interessado"
Maria Silva,5544912210752,28556812540,maria.silva968@email.com,"vip, retorno, interessado, premium"
Bruno Santos,5562973050249,09284619818,bruno.santos745@email.com,"lead-frio, premium"
Bruno Oliveira,5542923694015,84058963730,bruno.oliveira959@email.com,"premium, vip"
Bruno Pereira,5542971171633,18148340688,bruno.pereira459@email.com,
Juliana Gomes,5583956987156,39732352042,juliana.gomes152@email.com,"interessado, retorno, vip, premium, novo"
Juliana Pereira,5536949552496,46894375525,juliana.pereira777@email.com,"premium, retorno"
Ana Lima,5548917261677,55813918368,ana.lima480@email.com,"novo, lead-frio"
Ana Lima,5598962594629,92141642515,ana.lima166@email.com,"novo, lead-quente"
Maria Gomes,5563944411101,07005205499,maria.gomes802@email.com,"retorno, lead-quente, novo"
Rafael Ribeiro,5565993871815,08012603451,rafael.ribeiro513@email.com,lead-frio
Ana Costa,5570925470378,06791560552,ana.costa13@email.com,"novo, premium, retorno"
João Pereira,5598930797081,42026646511,joão.pereira93@email.com,lead-quente
João Ribeiro,5540942924397,27531924467,joão.ribeiro565@email.com,"interessado, lead-frio"
